player_id,player_name,team_id,team_abbreviation,age,player_height,player_height_inches,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
201609,Goran Dragic,1610612749,MIL,36,6-4,76,190,None,Slovenia,2008,2,45,54,335,71,143,1,0.016,0.072,0.196,0.515,0.24
202330,Gordon Hayward,1610612766,CHA,33,6-7,79,225,Butler,USA,2010,1,9,50,733,215,206,-3.3,0.02,0.112,0.196,0.563,0.187
203476,Gorgui Dieng,1610612759,SAS,33,6-10,82,248,Louisville,Senegal,2013,1,21,28,96,85,43,-18.6,0.069,0.214,0.176,0.487,0.213
1629684,Grant Williams,1610612738,BOS,24,6-6,78,236,Tennessee,USA,2019,1,22,75,624,353,126,5.8,0.042,0.136,0.128,0.613,0.086
1628960,Grayson Allen,1610612749,MIL,27,6-4,76,198,Duke,USA,2018,1,21,71,748,232,162,4.6,0.03,0.08,0.143,0.614,0.108
1630535,Greg Brown III,1610612757,POR,21,6-7,79,206,Texas,USA,2021,2,43,16,28,19,3,-3.4,0.019,0.175,0.17,0.421,0.055
1628977,Hamidou Diallo,1610612765,DET,24,6-5,77,202,Kentucky,USA,2018,2,45,56,522,194,55,-0.6,0.056,0.136,0.21,0.593,0.088
203084,Harrison Barnes,1610612758,SAC,30,6-8,80,225,North Carolina,USA,2012,1,7,77,1153,354,124,4.9,0.033,0.111,0.168,0.631,0.064
1629312,Haywood Highsmith,1610612748,MIA,26,6-5,77,220,Wheeling Jesuit,USA,2018,NA,NA,51,218,170,35,-5.7,0.052,0.135,0.119,0.52,0.059
1630529,Herbert Jones,1610612740,NOP,24,6-7,79,206,Alabama,USA,2021,2,35,62,584,251,148,3.5,0.053,0.089,0.143,0.556,0.106
1630193,Immanuel Quickley,1610612752,NYK,23,6-2,74,190,Kentucky,USA,2020,1,25,77,1094,311,256,5.9,0.024,0.107,0.198,0.574,0.175
1630171,Isaac Okoro,1610612739,CLE,22,6-5,77,225,Auburn,USA,2020,1,5,76,490,187,87,5.4,0.033,0.085,0.117,0.614,0.07
1628392,Isaiah Hartenstein,1610612752,NYK,24,7-0,84,250,None,Germany,2017,2,43,78,381,516,88,6.5,0.126,0.189,0.106,0.564,0.075
1630543,Isaiah Jackson,1610612754,IND,21,6-9,81,205,Kentucky,USA,2021,1,22,59,421,256,47,-6,0.102,0.158,0.165,0.599,0.073
1630198,Isaiah Joe,1610612760,OKC,23,6-3,75,165,Arkansas,USA,2020,2,49,70,659,166,82,5.9,0.019,0.107,0.169,0.631,0.085
1630587,Isaiah Livers,1610612765,DET,24,6-6,78,232,Michigan,USA,2021,2,42,50,321,134,39,-8,0.022,0.094,0.115,0.559,0.048
1630600,Isaiah Mobley,1610612739,CLE,23,6-8,80,238,Southern California,USA,2022,2,49,10,11,12,0,35,0.038,0.275,0.143,0.55,0
1629676,Isaiah Roby,1610612759,SAS,25,6-8,80,230,Nebraska,USA,2019,2,45,42,172,108,38,-10.4,0.04,0.188,0.173,0.497,0.114
1630191,Isaiah Stewart,1610612765,DET,21,6-8,80,250,Washington,USA,2020,1,16,50,567,403,70,-8,0.078,0.202,0.17,0.56,0.073
1630225,Isaiah Todd,1610612764,WAS,21,6-9,81,219,None,USA,2021,2,31,4,2,0,0,-14.8,0,0,0.133,0.25,0
202397,Ish Smith,1610612743,DEN,34,6-0,72,175,Wake Forest,USA,Undrafted,Undrafted,Undrafted,40,93,48,85,-5.9,0.013,0.119,0.187,0.412,0.35
1630688,Ish Wainright,1610612756,PHX,28,6-5,77,250,Baylor,USA,Undrafted,Undrafted,Undrafted,55,239,127,51,7.1,0.05,0.092,0.118,0.536,0.078
1627826,Ivica Zubac,1610612746,LAC,26,7-0,84,240,None,Croatia,2016,2,32,73,777,725,75,-0.8,0.115,0.237,0.148,0.658,0.051
1631120,JD Davison,1610612738,BOS,20,6-1,73,195,Alabama,USA,2022,2,53,10,11,6,6,8.5,0.048,0.152,0.231,0.423,0.316
