title,year,runtime,maturity_rating,genre,box_office,rating_imdb,metascore,awards
Donnie Darko,2001,113,R,Sci-Fi/Fantasy,1.5,8,88,0
Double Take,2001,88,PG-13,Comedy,29.8,5.3,25,0
Down to Earth,2001,87,PG-13,Sci-Fi/Fantasy,64.2,5.4,32,0
Dr. Dolittle 2,2001,87,PG,Family,113,4.7,49,0
Driven,2001,116,PG-13,Sport,32.7,4.6,29,0
Enemy at the Gates,2001,131,R,Action,51.4,7.6,53,0
Enigma,2001,119,R,Romance,4.3,6.4,64,0
Evolution,2001,101,PG-13,Sci-Fi/Fantasy,38.3,6.1,40,0
Exit Wounds,2001,101,R,Action,51.8,5.6,39,0
Extremedays,2001,93,PG,Comedy,1,5.7,17,0
Festival in Cannes,2001,100,PG-13,Comedy,0.3,6,46,0
Final Fantasy: The Spirits Within,2001,106,PG-13,Animation,32.1,6.4,49,0
Focus,2001,106,PG-13,Romance,0.6,6.7,53,0
Formula 51,2001,93,R,Comedy,5.2,6.3,23,0
Frailty,2001,100,R,Thriller,13.1,7.2,64,0
Freddy Got Fingered,2001,87,R,Comedy,14.3,4.6,13,0
From Hell,2001,122,R,Horror,31.6,6.8,54,0
Get Over It,2001,87,PG-13,Comedy,11.6,5.7,52,0
Ghost World,2001,111,R,Comedy,6.2,7.3,88,0
Ghosts of Mars,2001,98,R,Horror,8.7,4.9,35,0
Glitter,2001,104,PG-13,Musical,4.3,2.3,14,0
Gosford Park,2001,137,R,Comedy,41.3,7.2,90,1
Green Dragon,2001,115,PG-13,Drama,0.3,6.1,49,0
Haiku Tunnel,2001,88,R,Comedy,0.1,6.1,51,0
Hannibal,2001,131,R,Thriller,165.1,6.8,57,0
Hardball,2001,106,R,Comedy,40.2,6.4,48,0
Harry Potter and the Sorcerer's Stone,2001,152,PG,Family,318.9,7.6,65,0
Harvard Man,2001,99,R,Comedy,0.1,4.8,49,0
Head Over Heels,2001,86,PG-13,Comedy,10.4,5.4,27,0
Heartbreakers,2001,123,PG-13,Comedy,40.3,6.2,47,0
Hearts in Atlantis,2001,101,PG-13,Mystery,24.2,6.9,55,0
Hedwig and the Angry Inch,2001,95,R,Musical,3.1,7.7,85,0
Heist,2001,109,R,Action,23.5,6.5,66,0
High Heels and Low Lifes,2001,86,R,Comedy,0.2,6.1,39,0
How High,2001,93,R,Sci-Fi/Fantasy,31.2,6.2,29,0
Human Nature,2001,96,R,Comedy,0.7,6.4,56,0
I Am Sam,2001,132,PG-13,Drama,40.3,7.6,28,0
Impostor,2001,95,PG-13,Sci-Fi/Fantasy,6.3,6.2,33,0
In the Bedroom,2001,131,R,Drama,35.9,7.4,86,0
Invincible,2001,133,PG-13,Drama,0.1,6.4,55,0
Iris,2001,91,R,Biography,5.6,7,76,1
Jason X,2001,92,R,Horror,13.1,4.4,25,0
Jay and Silent Bob Strike Back,2001,104,R,Comedy,30.1,6.8,51,0
Jeepers Creepers,2001,90,R,Horror,37.9,6.2,49,0
Jimmy Neutron: Boy Genius,2001,82,G,Animation,80.9,6,65,0
Joe Dirt,2001,91,PG-13,Comedy,27.1,5.9,20,0
Joe Somebody,2001,98,PG,Comedy,22.8,5.5,42,0
Josie and the Pussycats,2001,98,PG-13,Musical,14.3,5.5,47,0
Joy Ride,2001,97,R,Action,22,6.6,75,0
Jurassic Park III,2001,92,PG-13,Sci-Fi/Fantasy,181.2,5.9,42,0
Just Visiting,2001,88,PG-13,Sci-Fi/Fantasy,4.8,5.7,38,0
K-PAX,2001,120,PG-13,Sci-Fi/Fantasy,50.3,7.4,49,0
Kate & Leopold,2001,118,PG-13,Sci-Fi/Fantasy,47.1,6.4,44,0
Kingdom Come,2001,94,PG,Comedy,23.2,5.5,48,0
Kiss of the Dragon,2001,98,R,Action,36.8,6.6,58,0
Kissing Jessica Stein,2001,97,R,Comedy,7,6.6,72,0
Knockaround Guys,2001,92,R,Thriller,11.7,6.1,30,0
Lara Croft: Tomb Raider,2001,100,PG-13,Sci-Fi/Fantasy,131.2,5.7,33,0
Legally Blonde,2001,96,PG-13,Comedy,96.5,6.4,59,0
Life as a House,2001,125,R,Drama,15.7,7.5,45,0
Little Secrets,2001,96,PG,Family,0.4,6.4,52,0
Lovely & Amazing,2001,91,R,Comedy,4.2,6.7,75,0
Lucky Break,2001,107,PG-13,Comedy,0.1,6.2,48,0
Made,2001,95,R,Comedy,5.3,6.3,62,0
Madison,2001,94,PG,Sport,0.5,6.3,43,0
Manic,2001,100,R,Drama,0.1,7.2,60,0
Max Keeble's Big Move,2001,86,PG,Family,17.3,5.4,40,0
Mean Machine,2001,99,R,Comedy,0.1,6.4,45,0
Megiddo: The Omega Code 2,2001,104,PG-13,Sci-Fi/Fantasy,6,3.9,35,0
Monkeybone,2001,93,PG-13,Animation,5.4,4.8,40,0
Monsoon Wedding,2001,114,R,Comedy,13.9,7.3,77,0
Monster's Ball,2001,111,R,Romance,31.3,7.1,69,1
"Monsters, Inc.",2001,92,G,Animation,290.6,8.1,79,1
Moulin Rouge!,2001,127,PG-13,Musical,57.4,7.6,66,2
Mulholland Drive,2001,147,R,Thriller,7.2,7.9,85,0
My First Mister,2001,109,R,Comedy,0.6,7.2,48,0
Never Again,2001,98,R,Comedy,0.3,6.1,30,0
No Such Thing,2001,102,R,Sci-Fi/Fantasy,0.1,6,36,0
Not Another Teen Movie,2001,89,R,Comedy,38.3,5.7,32,0
Novocaine,2001,95,R,Comedy,2,5.8,45,0
O,2001,95,R,Romance,16,6.1,53,0
Ocean's Eleven,2001,116,PG-13,Thriller,183.4,7.7,74,0
On the Line,2001,85,PG,Family,4.4,4.1,34,0
One Night at McCool's,2001,93,R,Comedy,6.3,6.2,46,0
Original Sin,2001,116,R,Romance,16.5,6,33,0
Osmosis Jones,2001,95,PG,Animation,13.6,6.3,57,0
Out Cold,2001,89,PG-13,Comedy,13.9,6.2,22,0
Pearl Harbor,2001,183,PG-13,Action,198.5,6.2,44,1
Piñero,2001,103,R,Biography,0.3,6.2,40,0
Planet of the Apes,2001,119,PG-13,Sci-Fi/Fantasy,180,5.7,50,0
Pootie Tang,2001,81,PG-13,Comedy,3.3,5.2,31,0
Rat Race,2001,112,PG-13,Comedy,56.6,6.4,52,0
Recess: School's Out,2001,82,G,Animation,36.7,6.5,43,0
Riding in Cars with Boys,2001,132,PG-13,Biography,30.2,6.5,43,0
Rock Star,2001,105,R,Musical,17,6.3,54,0
Rush Hour 2,2001,90,PG-13,Comedy,226.2,6.6,48,0
Save the Last Dance,2001,112,PG-13,Musical,91.1,6.2,53,0
Saving Silverman,2001,90,PG-13,Comedy,19.4,5.8,22,0
Say It Isn't So,2001,95,R,Comedy,5.5,5,21,0
Scary Movie 2,2001,83,R,Horror,71.3,5.3,29,0
"Scotland, Pa.",2001,104,R,Comedy,0.4,6.6,49,0
See Spot Run,2001,94,PG,Comedy,33.4,5.3,24,0
Serendipity,2001,90,PG-13,Comedy,50.3,6.8,52,0
Series 7: The Contenders,2001,86,R,Comedy,0.2,6.5,55,0
Session 9,2001,100,R,Horror,0.4,6.4,58,0
Shallow Hal,2001,114,PG-13,Sci-Fi/Fantasy,70.8,6,48,0
Shrek,2001,90,PG,Animation,268.2,7.9,84,1
Sidewalks of New York,2001,108,R,Comedy,2.4,6.4,49,0
Someone Like You,2001,97,PG-13,Comedy,27.3,6,32,0
Soul Survivors,2001,84,PG-13,Horror,3.1,3.8,20,0
Spy Game,2001,126,R,Action,62.4,7,63,0
Spy Kids,2001,88,PG,Comedy,112.7,5.6,71,0
Storytelling,2001,87,R,Comedy,0.9,6.8,50,0
Sugar & Spice,2001,81,PG-13,Comedy,13.3,5.7,48,0
Summer Catch,2001,104,PG-13,Comedy,19.8,5,21,0
Super Troopers,2001,100,R,Comedy,18.5,7,48,0
Sweet November,2001,119,PG-13,Romance,25.3,6.7,27,0
Swordfish,2001,99,R,Action,69.8,6.5,32,0
Tape,2001,86,R,Drama,0.5,7.2,71,0
Texas Rangers,2001,90,PG-13,Action,0.6,5.2,29,0
The Affair of the Necklace,2001,118,R,Romance,0.5,6,42,0
The Animal,2001,84,PG-13,Sci-Fi/Fantasy,57.7,4.8,43,0
The Anniversary Party,2001,115,R,Comedy,4,6.3,56,0
The Believer,2001,98,R,Drama,0.4,7.1,75,0
"The Bread, My Sweet",2001,105,PG-13,Romance,1,6.5,54,0
The Brothers,2001,106,R,Comedy,27.5,6.3,50,0
The Business of Strangers,2001,84,R,Thriller,1,6.3,67,0
The Cat's Meow,2001,114,PG-13,Romance,3.2,6.4,63,0
The Caveman's Valentine,2001,105,R,Musical,0.7,5.8,44,0
The Château,2001,91,R,Comedy,0.2,5.3,54,0
The Curse of the Jade Scorpion,2001,103,PG-13,Comedy,7.5,6.7,52,0
The Deep End,2001,101,R,Mystery,8.8,6.5,78,0
The Fast and the Furious,2001,106,PG-13,Action,144.7,6.8,58,0
The Fluffer,2001,95,R,Comedy,0.6,5.6,53,0
The Forsaken,2001,90,R,Horror,7.3,5.2,35,0
The Glass House,2001,106,PG-13,Mystery,18.2,5.8,34,0
The Grey Zone,2001,108,R,Drama,0.5,7,58,0
The Invisible Circus,2001,93,R,Drama,0.1,5.5,40,0
The Last Castle,2001,131,R,Action,18.2,6.9,43,0
The Lord of the Rings: The Fellowship of the Ring,2001,178,PG-13,Action,316.1,8.8,92,4
The Lost Skeleton of Cadavra,2001,90,PG,Horror,0.1,6.8,45,0
The Majestic,2001,152,PG,Romance,27.8,6.9,27,0
The Man from Elysian Fields,2001,106,R,Romance,1.4,6.6,57,0
The Man Who Wasn't There,2001,116,R,Drama,7.5,7.5,73,0
The Mexican,2001,123,R,Comedy,66.8,6.1,43,0
The Mummy Returns,2001,130,PG-13,Sci-Fi/Fantasy,202,6.4,48,0
The Musketeer,2001,104,PG-13,Romance,27.1,4.7,27,0
The One,2001,87,PG-13,Sci-Fi/Fantasy,43.9,5.9,25,0
The Other Side of Heaven,2001,113,PG,Biography,4.7,6.2,38,0
The Others,2001,101,PG-13,Horror,96.5,7.6,74,0
The Pledge,2001,124,R,Mystery,19.7,6.8,71,0
The Princess Diaries,2001,115,G,Family,108.2,6.3,52,0
The Royal Tenenbaums,2001,110,R,Comedy,52.4,7.6,76,0
The Safety of Objects,2001,121,R,Drama,0.3,6.5,58,0
The Score,2001,124,R,Action,71.1,6.8,71,0
The Shipping News,2001,111,R,Drama,11.4,6.7,47,0
The Tailor of Panama,2001,109,R,Comedy,13.7,6.1,66,0
The Wash,2001,96,R,Comedy,10.1,4.7,18,0
The Wedding Planner,2001,103,PG-13,Comedy,60.4,5.3,33,0
Thir13en Ghosts,2001,91,R,Horror,41.9,5.6,30,0
Thirteen Conversations About One Thing,2001,104,R,Drama,3.3,7,74,0
Tomcats,2001,95,R,Comedy,13.6,5.3,15,0
Tortilla Soup,2001,102,PG-13,Comedy,4.5,6.7,58,0
Town & Country,2001,104,R,Comedy,6.7,4.5,34,0
Training Day,2001,122,R,Action,76.6,7.7,69,1
Two Can Play That Game,2001,90,R,Comedy,22.2,6,35,0
Valentine,2001,96,R,Horror,20.4,4.8,18,0
Vanilla Sky,2001,136,R,Sci-Fi/Fantasy,100.6,6.9,45,0
Waking Life,2001,99,R,Animation,2.9,7.7,83,0
Wendigo,2001,91,R,Horror,0.1,5.1,63,0
Wet Hot American Summer,2001,97,R,Comedy,0.3,6.5,42,0
What's the Worst That Could Happen?,2001,94,PG-13,Comedy,32.3,5.4,37,0
Who Is Cletis Tout?,2001,92,R,Comedy,0.3,6.3,36,0
World Traveler,2001,103,R,Drama,0.1,5.3,39,0
Zoolander,2001,90,PG-13,Comedy,45.2,6.5,61,0
25th Hour,2002,135,R,Drama,13.1,7.6,68,0
40 Days and 40 Nights,2002,96,R,Comedy,38,5.6,53,0
8 Mile,2002,110,R,Musical,116.8,7.1,77,1
A Walk to Remember,2002,101,PG,Romance,41.3,7.3,35,0
Abandon,2002,99,PG-13,Romance,10.7,4.8,36,0
About a Boy,2002,101,PG-13,Comedy,41.4,7.1,75,0
